"sector","transect","subunit","observer1","observer2","S1","S2","B","grp.size","subunit.area"
"Piratuba_Noroeste","tf1","t1",0,0,0,0,0,0,0.453197765363129
"Piratuba_Noroeste","tf1","t10",0,0,0,0,0,0,0.4143
"Piratuba_Noroeste","tf1","t11",0,0,0,0,0,0,0.4272
"Piratuba_Noroeste","tf1","t12",0,0,0,0,0,0,0.4098
"Piratuba_Noroeste","tf1","t13",0,0,0,0,0,0,0.4161
"Piratuba_Noroeste","tf1","t14",0,0,0,0,0,0,0.4164
"Piratuba_Noroeste","tf1","t15",0,0,0,0,0,0,0.4185
"Piratuba_Noroeste","tf1","t16",0,0,0,0,0,0,0.4326
"Piratuba_Noroeste","tf1","t2",0,0,0,0,0,0,0.4482
"Piratuba_Noroeste","tf1","t3",0,0,0,0,0,0,0.4263
"Piratuba_Noroeste","tf1","t4",0,0,0,0,0,0,0.4293
"Piratuba_Noroeste","tf1","t5",0,0,0,0,0,0,0.4281
"Piratuba_Noroeste","tf1","t6",0,0,0,0,0,0,0.4161
"Piratuba_Noroeste","tf1","t7",0,0,0,0,0,0,0.4275
"Piratuba_Noroeste","tf1","t8",0,0,0,0,0,0,0.4332
"Piratuba_Noroeste","tf1","t9",0,0,0,0,0,0,0.4245
"Piratuba_Noroeste","tf2","t1",0,0,0,0,0,0,0.4581
"Piratuba_Noroeste","tf2","t10",0,0,0,0,0,0,0.4899
"Piratuba_Noroeste","tf2","t11",0,0,0,0,0,0,0.5001
"Piratuba_Noroeste","tf2","t12",0,0,0,0,0,0,0.4836
"Piratuba_Noroeste","tf2","t13",0,0,0,0,0,0,0.4842
"Piratuba_Noroeste","tf2","t14",0,0,0,0,0,0,0.4872
"Piratuba_Noroeste","tf2","t15",0,0,0,0,0,0,0.4923
"Piratuba_Noroeste","tf2","t2",0,0,0,0,0,0,0.5007
"Piratuba_Noroeste","tf2","t3",0,0,0,0,0,0,0.4692
"Piratuba_Noroeste","tf2","t4",0,0,0,0,0,0,0.4749
"Piratuba_Noroeste","tf2","t5",0,0,0,0,0,0,0.4821
"Piratuba_Noroeste","tf2","t6",0,0,0,0,0,0,0.4923
